date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2017-12-26,514,2017,12,December,26,1,Tuesday,4
2017-12-27,515,2017,12,December,27,2,Wednesday,4
2017-12-29,516,2017,12,December,29,4,Friday,4
2017-12-30,517,2017,12,December,30,5,Saturday,4
2017-12-31,518,2017,12,December,31,6,Sunday,4
2018-01-01,519,2018,1,January,1,0,Monday,1
2018-01-02,520,2018,1,January,2,1,Tuesday,1
2018-01-05,521,2018,1,January,5,4,Friday,1
2018-01-06,522,2018,1,January,6,5,Saturday,1
2018-01-08,523,2018,1,January,8,0,Monday,1
2018-01-09,524,2018,1,January,9,1,Tuesday,1
2018-01-10,525,2018,1,January,10,2,Wednesday,1
2018-01-11,526,2018,1,January,11,3,Thursday,1
2018-01-12,527,2018,1,January,12,4,Friday,1
2018-01-15,528,2018,1,January,15,0,Monday,1
2018-01-16,529,2018,1,January,16,1,Tuesday,1
2018-01-17,530,2018,1,January,17,2,Wednesday,1
2018-01-18,531,2018,1,January,18,3,Thursday,1
2018-01-19,532,2018,1,January,19,4,Friday,1
2018-01-20,533,2018,1,January,20,5,Saturday,1
2018-01-22,534,2018,1,January,22,0,Monday,1
2018-01-23,535,2018,1,January,23,1,Tuesday,1
2018-01-24,536,2018,1,January,24,2,Wednesday,1
2018-01-25,537,2018,1,January,25,3,Thursday,1
2018-01-26,538,2018,1,January,26,4,Friday,1
2018-01-28,539,2018,1,January,28,6,Sunday,1
2018-01-29,540,2018,1,January,29,0,Monday,1
2018-01-30,541,2018,1,January,30,1,Tuesday,1
2018-01-31,542,2018,1,January,31,2,Wednesday,1
2018-02-01,543,2018,2,February,1,3,Thursday,1
2018-02-02,544,2018,2,February,2,4,Friday,1
2018-02-04,545,2018,2,February,4,6,Sunday,1
2018-02-05,546,2018,2,February,5,0,Monday,1
2018-02-06,547,2018,2,February,6,1,Tuesday,1
2018-02-08,548,2018,2,February,8,3,Thursday,1
2018-02-09,549,2018,2,February,9,4,Friday,1
2018-02-13,550,2018,2,February,13,1,Tuesday,1
2018-02-14,551,2018,2,February,14,2,Wednesday,1
2018-02-15,552,2018,2,February,15,3,Thursday,1
2018-02-16,553,2018,2,February,16,4,Friday,1
2018-02-17,554,2018,2,February,17,5,Saturday,1
2018-02-19,555,2018,2,February,19,0,Monday,1
2018-02-20,556,2018,2,February,20,1,Tuesday,1
2018-02-21,557,2018,2,February,21,2,Wednesday,1
2018-02-22,558,2018,2,February,22,3,Thursday,1
2018-02-23,559,2018,2,February,23,4,Friday,1
2018-02-24,560,2018,2,February,24,5,Saturday,1
2018-02-25,561,2018,2,February,25,6,Sunday,1
2018-02-26,562,2018,2,February,26,0,Monday,1
2018-02-27,563,2018,2,February,27,1,Tuesday,1
2018-02-28,564,2018,2,February,28,2,Wednesday,1
2018-03-01,565,2018,3,March,1,3,Thursday,1
2018-03-02,566,2018,3,March,2,4,Friday,1
2018-03-04,567,2018,3,March,4,6,Sunday,1
2018-03-05,568,2018,3,March,5,0,Monday,1
2018-03-06,569,2018,3,March,6,1,Tuesday,1
2018-03-07,570,2018,3,March,7,2,Wednesday,1
2018-03-08,571,2018,3,March,8,3,Thursday,1
2018-03-09,572,2018,3,March,9,4,Friday,1
2018-03-10,573,2018,3,March,10,5,Saturday,1
2018-03-11,574,2018,3,March,11,6,Sunday,1
2018-03-12,575,2018,3,March,12,0,Monday,1
2018-03-13,576,2018,3,March,13,1,Tuesday,1
2018-03-14,577,2018,3,March,14,2,Wednesday,1
2018-03-15,578,2018,3,March,15,3,Thursday,1
2018-03-16,579,2018,3,March,16,4,Friday,1
2018-03-19,580,2018,3,March,19,0,Monday,1
2018-03-20,581,2018,3,March,20,1,Tuesday,1
2018-03-21,582,2018,3,March,21,2,Wednesday,1
2018-03-23,583,2018,3,March,23,4,Friday,1
2018-03-24,584,2018,3,March,24,5,Saturday,1
2018-03-26,585,2018,3,March,26,0,Monday,1
2018-03-27,586,2018,3,March,27,1,Tuesday,1
2018-03-28,587,2018,3,March,28,2,Wednesday,1
2018-03-29,588,2018,3,March,29,3,Thursday,1
2018-03-30,589,2018,3,March,30,4,Friday,1
2018-03-31,590,2018,3,March,31,5,Saturday,1
2018-04-01,591,2018,4,April,1,6,Sunday,2
2018-04-02,592,2018,4,April,2,0,Monday,2
2018-04-03,593,2018,4,April,3,1,Tuesday,2
2018-04-04,594,2018,4,April,4,2,Wednesday,2
2018-04-05,595,2018,4,April,5,3,Thursday,2
2018-04-06,596,2018,4,April,6,4,Friday,2
2018-04-07,597,2018,4,April,7,5,Saturday,2
2018-04-09,598,2018,4,April,9,0,Monday,2
2018-04-10,599,2018,4,April,10,1,Tuesday,2
2018-04-12,600,2018,4,April,12,3,Thursday,2
2018-04-13,601,2018,4,April,13,4,Friday,2
2018-04-14,602,2018,4,April,14,5,Saturday,2
2018-04-15,603,2018,4,April,15,6,Sunday,2
2018-04-16,604,2018,4,April,16,0,Monday,2
2018-04-17,605,2018,4,April,17,1,Tuesday,2
2018-04-18,606,2018,4,April,18,2,Wednesday,2
2018-04-19,607,2018,4,April,19,3,Thursday,2
2018-04-20,608,2018,4,April,20,4,Friday,2
2018-04-24,609,2018,4,April,24,1,Tuesday,2
2018-04-25,610,2018,4,April,25,2,Wednesday,2
2018-04-26,611,2018,4,April,26,3,Thursday,2
2018-04-27,612,2018,4,April,27,4,Friday,2
2018-04-30,613,2018,4,April,30,0,Monday,2
2018-05-01,614,2018,5,May,1,1,Tuesday,2
2018-05-02,615,2018,5,May,2,2,Wednesday,2
2018-05-03,616,2018,5,May,3,3,Thursday,2
2018-05-04,617,2018,5,May,4,4,Friday,2
2018-05-05,618,2018,5,May,5,5,Saturday,2
2018-05-07,619,2018,5,May,7,0,Monday,2
2018-05-08,620,2018,5,May,8,1,Tuesday,2
2018-05-11,621,2018,5,May,11,4,Friday,2
2018-05-12,622,2018,5,May,12,5,Saturday,2
2018-05-13,623,2018,5,May,13,6,Sunday,2
2018-05-15,624,2018,5,May,15,1,Tuesday,2
2018-05-16,625,2018,5,May,16,2,Wednesday,2
2018-05-17,626,2018,5,May,17,3,Thursday,2
2018-05-18,627,2018,5,May,18,4,Friday,2
2018-05-19,628,2018,5,May,19,5,Saturday,2
2018-05-22,629,2018,5,May,22,1,Tuesday,2
2018-05-24,630,2018,5,May,24,3,Thursday,2
2018-05-25,631,2018,5,May,25,4,Friday,2
2018-05-26,632,2018,5,May,26,5,Saturday,2
2018-05-27,633,2018,5,May,27,6,Sunday,2
2018-05-29,634,2018,5,May,29,1,Tuesday,2
2018-05-30,635,2018,5,May,30,2,Wednesday,2
2018-05-31,636,2018,5,May,31,3,Thursday,2
2018-06-01,637,2018,6,June,1,4,Friday,2
2018-06-02,638,2018,6,June,2,5,Saturday,2
2018-06-04,639,2018,6,June,4,0,Monday,2
2018-06-05,640,2018,6,June,5,1,Tuesday,2
2018-06-07,641,2018,6,June,7,3,Thursday,2
2018-06-08,642,2018,6,June,8,4,Friday,2
2018-06-12,643,2018,6,June,12,1,Tuesday,2
2018-06-14,644,2018,6,June,14,3,Thursday,2
2018-06-15,645,2018,6,June,15,4,Friday,2
2018-06-18,646,2018,6,June,18,0,Monday,2
2018-06-19,647,2018,6,June,19,1,Tuesday,2
2018-06-20,648,2018,6,June,20,2,Wednesday,2
2018-06-22,649,2018,6,June,22,4,Friday,2
2018-06-23,650,2018,6,June,23,5,Saturday,2
2018-06-24,651,2018,6,June,24,6,Sunday,2
2018-06-25,652,2018,6,June,25,0,Monday,2
2018-06-26,653,2018,6,June,26,1,Tuesday,2
2018-06-27,654,2018,6,June,27,2,Wednesday,2
2018-06-28,655,2018,6,June,28,3,Thursday,2
2018-06-29,656,2018,6,June,29,4,Friday,2
2018-06-30,657,2018,6,June,30,5,Saturday,2
2018-07-01,658,2018,7,July,1,6,Sunday,3
2018-07-02,659,2018,7,July,2,0,Monday,3
2018-07-03,660,2018,7,July,3,1,Tuesday,3
2018-07-04,661,2018,7,July,4,2,Wednesday,3
2018-07-05,662,2018,7,July,5,3,Thursday,3
2018-07-06,663,2018,7,July,6,4,Friday,3
2018-07-08,664,2018,7,July,8,6,Sunday,3
2018-07-10,665,2018,7,July,10,1,Tuesday,3
2018-07-11,666,2018,7,July,11,2,Wednesday,3
2018-07-13,667,2018,7,July,13,4,Friday,3
2018-07-14,668,2018,7,July,14,5,Saturday,3
2018-07-15,669,2018,7,July,15,6,Sunday,3
2018-07-17,670,2018,7,July,17,1,Tuesday,3
2018-07-18,671,2018,7,July,18,2,Wednesday,3
2018-07-19,672,2018,7,July,19,3,Thursday,3
2018-07-20,673,2018,7,July,20,4,Friday,3
2018-07-21,674,2018,7,July,21,5,Saturday,3
2018-07-22,675,2018,7,July,22,6,Sunday,3
2018-07-23,676,2018,7,July,23,0,Monday,3
2018-07-24,677,2018,7,July,24,1,Tuesday,3
2018-07-25,678,2018,7,July,25,2,Wednesday,3
2018-07-26,679,2018,7,July,26,3,Thursday,3
2018-07-27,680,2018,7,July,27,4,Friday,3
2018-07-28,681,2018,7,July,28,5,Saturday,3
2018-07-29,682,2018,7,July,29,6,Sunday,3
2018-07-30,683,2018,7,July,30,0,Monday,3
2018-07-31,684,2018,7,July,31,1,Tuesday,3
2018-08-01,685,2018,8,August,1,2,Wednesday,3
2018-08-02,686,2018,8,August,2,3,Thursday,3
2018-08-03,687,2018,8,August,3,4,Friday,3
2018-08-04,688,2018,8,August,4,5,Saturday,3
2018-08-05,689,2018,8,August,5,6,Sunday,3
2018-08-08,690,2018,8,August,8,2,Wednesday,3
2018-08-09,691,2018,8,August,9,3,Thursday,3
2018-08-10,692,2018,8,August,10,4,Friday,3
2018-08-13,693,2018,8,August,13,0,Monday,3
2018-08-15,694,2018,8,August,15,2,Wednesday,3
2018-08-16,695,2018,8,August,16,3,Thursday,3
2018-08-17,696,2018,8,August,17,4,Friday,3
2018-08-18,697,2018,8,August,18,5,Saturday,3
2018-08-19,698,2018,8,August,19,6,Sunday,3
2018-08-20,699,2018,8,August,20,0,Monday,3
2018-08-21,700,2018,8,August,21,1,Tuesday,3
2018-08-23,701,2018,8,August,23,3,Thursday,3
2018-08-24,702,2018,8,August,24,4,Friday,3
2018-08-25,703,2018,8,August,25,5,Saturday,3
2018-08-26,704,2018,8,August,26,6,Sunday,3
2018-08-27,705,2018,8,August,27,0,Monday,3
2018-08-28,706,2018,8,August,28,1,Tuesday,3
2018-08-29,707,2018,8,August,29,2,Wednesday,3
2018-08-30,708,2018,8,August,30,3,Thursday,3
2018-08-31,709,2018,8,August,31,4,Friday,3
2018-09-01,710,2018,9,September,1,5,Saturday,3
2018-09-02,711,2018,9,September,2,6,Sunday,3
2018-09-03,712,2018,9,September,3,0,Monday,3
2018-09-04,713,2018,9,September,4,1,Tuesday,3
2018-09-05,714,2018,9,September,5,2,Wednesday,3
2018-09-06,715,2018,9,September,6,3,Thursday,3
2018-09-07,716,2018,9,September,7,4,Friday,3
2018-09-08,717,2018,9,September,8,5,Saturday,3
2018-09-09,718,2018,9,September,9,6,Sunday,3
2018-09-11,719,2018,9,September,11,1,Tuesday,3
2018-09-12,720,2018,9,September,12,2,Wednesday,3
2018-09-13,721,2018,9,September,13,3,Thursday,3
2018-09-14,722,2018,9,September,14,4,Friday,3
2018-09-15,723,2018,9,September,15,5,Saturday,3
2018-09-16,724,2018,9,September,16,6,Sunday,3
2018-09-17,725,2018,9,September,17,0,Monday,3
2018-09-18,726,2018,9,September,18,1,Tuesday,3
2018-09-19,727,2018,9,September,19,2,Wednesday,3
2018-09-20,728,2018,9,September,20,3,Thursday,3
2018-09-21,729,2018,9,September,21,4,Friday,3
2018-09-22,730,2018,9,September,22,5,Saturday,3
2018-09-24,731,2018,9,September,24,0,Monday,3
2018-09-25,732,2018,9,September,25,1,Tuesday,3
2018-09-26,733,2018,9,September,26,2,Wednesday,3
2018-09-27,734,2018,9,September,27,3,Thursday,3
2018-09-28,735,2018,9,September,28,4,Friday,3
2018-09-29,736,2018,9,September,29,5,Saturday,3
2018-09-30,737,2018,9,September,30,6,Sunday,3
2018-10-01,738,2018,10,October,1,0,Monday,4
2018-10-02,739,2018,10,October,2,1,Tuesday,4
2018-10-03,740,2018,10,October,3,2,Wednesday,4
2018-10-04,741,2018,10,October,4,3,Thursday,4
2018-10-05,742,2018,10,October,5,4,Friday,4
2018-10-06,743,2018,10,October,6,5,Saturday,4
2018-10-08,744,2018,10,October,8,0,Monday,4
2018-10-09,745,2018,10,October,9,1,Tuesday,4
2018-10-10,746,2018,10,October,10,2,Wednesday,4
2018-10-11,747,2018,10,October,11,3,Thursday,4
2018-10-12,748,2018,10,October,12,4,Friday,4
2018-10-13,749,2018,10,October,13,5,Saturday,4
2018-10-15,750,2018,10,October,15,0,Monday,4
2018-10-16,751,2018,10,October,16,1,Tuesday,4
2018-10-17,752,2018,10,October,17,2,Wednesday,4
2018-10-18,753,2018,10,October,18,3,Thursday,4
2018-10-19,754,2018,10,October,19,4,Friday,4
2018-10-20,755,2018,10,October,20,5,Saturday,4
2018-10-21,756,2018,10,October,21,6,Sunday,4
2018-10-22,757,2018,10,October,22,0,Monday,4
2018-10-23,758,2018,10,October,23,1,Tuesday,4
2018-10-24,759,2018,10,October,24,2,Wednesday,4
2018-10-25,760,2018,10,October,25,3,Thursday,4
2018-10-26,761,2018,10,October,26,4,Friday,4
2018-10-27,762,2018,10,October,27,5,Saturday,4
2018-10-28,763,2018,10,October,28,6,Sunday,4
2018-10-29,764,2018,10,October,29,0,Monday,4
2018-10-30,765,2018,10,October,30,1,Tuesday,4
2018-10-31,766,2018,10,October,31,2,Wednesday,4
2018-11-01,767,2018,11,November,1,3,Thursday,4
2018-11-02,768,2018,11,November,2,4,Friday,4
2018-11-03,769,2018,11,November,3,5,Saturday,4
2018-11-05,770,2018,11,November,5,0,Monday,4
2018-11-07,771,2018,11,November,7,2,Wednesday,4
2018-11-08,772,2018,11,November,8,3,Thursday,4
2018-11-09,773,2018,11,November,9,4,Friday,4
2018-11-10,774,2018,11,November,10,5,Saturday,4
2018-11-12,775,2018,11,November,12,0,Monday,4
2018-11-13,776,2018,11,November,13,1,Tuesday,4
2018-11-15,777,2018,11,November,15,3,Thursday,4
2018-11-16,778,2018,11,November,16,4,Friday,4
2018-11-17,779,2018,11,November,17,5,Saturday,4
2018-11-18,780,2018,11,November,18,6,Sunday,4
2018-11-20,781,2018,11,November,20,1,Tuesday,4
2018-11-21,782,2018,11,November,21,2,Wednesday,4
2018-11-22,783,2018,11,November,22,3,Thursday,4
2018-11-23,784,2018,11,November,23,4,Friday,4
2018-11-25,785,2018,11,November,25,6,Sunday,4
2018-11-27,786,2018,11,November,27,1,Tuesday,4
2018-11-28,787,2018,11,November,28,2,Wednesday,4
2018-11-30,788,2018,11,November,30,4,Friday,4
2018-12-01,789,2018,12,December,1,5,Saturday,4
2018-12-02,790,2018,12,December,2,6,Sunday,4
2018-12-03,791,2018,12,December,3,0,Monday,4
2018-12-04,792,2018,12,December,4,1,Tuesday,4
2018-12-05,793,2018,12,December,5,2,Wednesday,4
2018-12-06,794,2018,12,December,6,3,Thursday,4
2018-12-07,795,2018,12,December,7,4,Friday,4
2018-12-08,796,2018,12,December,8,5,Saturday,4
2018-12-09,797,2018,12,December,9,6,Sunday,4
2018-12-10,798,2018,12,December,10,0,Monday,4
2018-12-11,799,2018,12,December,11,1,Tuesday,4
2018-12-12,800,2018,12,December,12,2,Wednesday,4
2018-12-14,801,2018,12,December,14,4,Friday,4
2018-12-15,802,2018,12,December,15,5,Saturday,4
2018-12-16,803,2018,12,December,16,6,Sunday,4
2018-12-17,804,2018,12,December,17,0,Monday,4
2018-12-18,805,2018,12,December,18,1,Tuesday,4
2018-12-19,806,2018,12,December,19,2,Wednesday,4
2018-12-20,807,2018,12,December,20,3,Thursday,4
2018-12-21,808,2018,12,December,21,4,Friday,4
2018-12-22,809,2018,12,December,22,5,Saturday,4
2018-12-23,810,2018,12,December,23,6,Sunday,4
2018-12-24,811,2018,12,December,24,0,Monday,4
2018-12-25,812,2018,12,December,25,1,Tuesday,4
2018-12-26,813,2018,12,December,26,2,Wednesday,4
2018-12-27,814,2018,12,December,27,3,Thursday,4
2018-12-28,815,2018,12,December,28,4,Friday,4
2018-12-29,816,2018,12,December,29,5,Saturday,4
2018-12-30,817,2018,12,December,30,6,Sunday,4
2018-12-31,818,2018,12,December,31,0,Monday,4
2019-01-01,819,2019,1,January,1,1,Tuesday,1
2019-01-02,820,2019,1,January,2,2,Wednesday,1
2019-01-03,821,2019,1,January,3,3,Thursday,1
2019-01-04,822,2019,1,January,4,4,Friday,1
2019-01-05,823,2019,1,January,5,5,Saturday,1
2019-01-07,824,2019,1,January,7,0,Monday,1
2019-01-08,825,2019,1,January,8,1,Tuesday,1
2019-01-09,826,2019,1,January,9,2,Wednesday,1
2019-01-10,827,2019,1,January,10,3,Thursday,1
2019-01-11,828,2019,1,January,11,4,Friday,1
2019-01-12,829,2019,1,January,12,5,Saturday,1
2019-01-13,830,2019,1,January,13,6,Sunday,1
2019-01-14,831,2019,1,January,14,0,Monday,1
2019-01-15,832,2019,1,January,15,1,Tuesday,1
2019-01-16,833,2019,1,January,16,2,Wednesday,1
2019-01-18,834,2019,1,January,18,4,Friday,1
2019-01-19,835,2019,1,January,19,5,Saturday,1
2019-01-23,836,2019,1,January,23,2,Wednesday,1
2019-01-24,837,2019,1,January,24,3,Thursday,1
2019-01-25,838,2019,1,January,25,4,Friday,1
2019-01-26,839,2019,1,January,26,5,Saturday,1
2019-01-27,840,2019,1,January,27,6,Sunday,1
2019-01-28,841,2019,1,January,28,0,Monday,1
2019-01-29,842,2019,1,January,29,1,Tuesday,1
2019-01-30,843,2019,1,January,30,2,Wednesday,1
2019-01-31,844,2019,1,January,31,3,Thursday,1
2019-02-01,845,2019,2,February,1,4,Friday,1
2019-02-02,846,2019,2,February,2,5,Saturday,1
2019-02-03,847,2019,2,February,3,6,Sunday,1
2019-02-05,848,2019,2,February,5,1,Tuesday,1
2019-02-06,849,2019,2,February,6,2,Wednesday,1
2019-02-07,850,2019,2,February,7,3,Thursday,1
2019-02-08,851,2019,2,February,8,4,Friday,1
2019-02-09,852,2019,2,February,9,5,Saturday,1
2019-02-11,853,2019,2,February,11,0,Monday,1
2019-02-12,854,2019,2,February,12,1,Tuesday,1
2019-02-13,855,2019,2,February,13,2,Wednesday,1
2019-02-14,856,2019,2,February,14,3,Thursday,1
2019-02-15,857,2019,2,February,15,4,Friday,1
2019-02-16,858,2019,2,February,16,5,Saturday,1
2019-02-17,859,2019,2,February,17,6,Sunday,1
2019-02-19,860,2019,2,February,19,1,Tuesday,1
2019-02-20,861,2019,2,February,20,2,Wednesday,1
2019-02-21,862,2019,2,February,21,3,Thursday,1
2019-02-22,863,2019,2,February,22,4,Friday,1
2019-02-23,864,2019,2,February,23,5,Saturday,1
2019-02-24,865,2019,2,February,24,6,Sunday,1
2019-02-25,866,2019,2,February,25,0,Monday,1
2019-02-26,867,2019,2,February,26,1,Tuesday,1
2019-02-27,868,2019,2,February,27,2,Wednesday,1
2019-02-28,869,2019,2,February,28,3,Thursday,1
2019-03-01,870,2019,3,March,1,4,Friday,1
2019-03-02,871,2019,3,March,2,5,Saturday,1
2019-03-03,872,2019,3,March,3,6,Sunday,1
2019-03-04,873,2019,3,March,4,0,Monday,1
2019-03-05,874,2019,3,March,5,1,Tuesday,1
2019-03-06,875,2019,3,March,6,2,Wednesday,1
2019-03-07,876,2019,3,March,7,3,Thursday,1
2019-03-08,877,2019,3,March,8,4,Friday,1
2019-03-09,878,2019,3,March,9,5,Saturday,1
2019-03-10,879,2019,3,March,10,6,Sunday,1
2019-03-11,880,2019,3,March,11,0,Monday,1
2019-03-12,881,2019,3,March,12,1,Tuesday,1
2019-03-13,882,2019,3,March,13,2,Wednesday,1
2019-03-14,883,2019,3,March,14,3,Thursday,1
2019-03-15,884,2019,3,March,15,4,Friday,1
2019-03-16,885,2019,3,March,16,5,Saturday,1
2019-03-17,886,2019,3,March,17,6,Sunday,1
2019-03-18,887,2019,3,March,18,0,Monday,1
2019-03-19,888,2019,3,March,19,1,Tuesday,1
2019-03-20,889,2019,3,March,20,2,Wednesday,1
2019-03-21,890,2019,3,March,21,3,Thursday,1
2019-03-22,891,2019,3,March,22,4,Friday,1
2019-03-23,892,2019,3,March,23,5,Saturday,1
2019-03-24,893,2019,3,March,24,6,Sunday,1
2019-03-25,894,2019,3,March,25,0,Monday,1
2019-03-26,895,2019,3,March,26,1,Tuesday,1
2019-03-27,896,2019,3,March,27,2,Wednesday,1
2019-03-28,897,2019,3,March,28,3,Thursday,1
2019-03-29,898,2019,3,March,29,4,Friday,1
2019-03-30,899,2019,3,March,30,5,Saturday,1
2019-03-31,900,2019,3,March,31,6,Sunday,1
2019-04-01,901,2019,4,April,1,0,Monday,2
2019-04-02,902,2019,4,April,2,1,Tuesday,2
2019-04-03,903,2019,4,April,3,2,Wednesday,2
2019-04-04,904,2019,4,April,4,3,Thursday,2
2019-04-05,905,2019,4,April,5,4,Friday,2
2019-04-06,906,2019,4,April,6,5,Saturday,2
2019-04-07,907,2019,4,April,7,6,Sunday,2
2019-04-08,908,2019,4,April,8,0,Monday,2
2019-04-09,909,2019,4,April,9,1,Tuesday,2
2019-04-10,910,2019,4,April,10,2,Wednesday,2
2019-04-11,911,2019,4,April,11,3,Thursday,2
2019-04-12,912,2019,4,April,12,4,Friday,2
2019-04-13,913,2019,4,April,13,5,Saturday,2
2019-04-14,914,2019,4,April,14,6,Sunday,2
2019-04-15,915,2019,4,April,15,0,Monday,2
2019-04-16,916,2019,4,April,16,1,Tuesday,2
2019-04-17,917,2019,4,April,17,2,Wednesday,2
2019-04-18,918,2019,4,April,18,3,Thursday,2
2019-04-19,919,2019,4,April,19,4,Friday,2
2019-04-20,920,2019,4,April,20,5,Saturday,2
2019-04-21,921,2019,4,April,21,6,Sunday,2
2019-04-22,922,2019,4,April,22,0,Monday,2
2019-04-23,923,2019,4,April,23,1,Tuesday,2
2019-04-24,924,2019,4,April,24,2,Wednesday,2
2019-04-25,925,2019,4,April,25,3,Thursday,2
2019-04-26,926,2019,4,April,26,4,Friday,2
2019-04-27,927,2019,4,April,27,5,Saturday,2
2019-04-28,928,2019,4,April,28,6,Sunday,2
2019-04-29,929,2019,4,April,29,0,Monday,2
2019-04-30,930,2019,4,April,30,1,Tuesday,2
2019-05-01,931,2019,5,May,1,2,Wednesday,2
2019-05-02,932,2019,5,May,2,3,Thursday,2
2019-05-03,933,2019,5,May,3,4,Friday,2
2019-05-05,934,2019,5,May,5,6,Sunday,2
2019-05-06,935,2019,5,May,6,0,Monday,2
2019-05-07,936,2019,5,May,7,1,Tuesday,2
2019-05-08,937,2019,5,May,8,2,Wednesday,2
2019-05-09,938,2019,5,May,9,3,Thursday,2
2019-05-10,939,2019,5,May,10,4,Friday,2
2019-05-11,940,2019,5,May,11,5,Saturday,2
2019-05-12,941,2019,5,May,12,6,Sunday,2
2019-05-13,942,2019,5,May,13,0,Monday,2
2019-05-14,943,2019,5,May,14,1,Tuesday,2
2019-05-15,944,2019,5,May,15,2,Wednesday,2
2019-05-16,945,2019,5,May,16,3,Thursday,2
2019-05-17,946,2019,5,May,17,4,Friday,2
2019-05-18,947,2019,5,May,18,5,Saturday,2
2019-05-19,948,2019,5,May,19,6,Sunday,2
2019-05-20,949,2019,5,May,20,0,Monday,2
2019-05-21,950,2019,5,May,21,1,Tuesday,2
2019-05-22,951,2019,5,May,22,2,Wednesday,2
2019-05-23,952,2019,5,May,23,3,Thursday,2
2019-05-24,953,2019,5,May,24,4,Friday,2
2019-05-25,954,2019,5,May,25,5,Saturday,2
2019-05-26,955,2019,5,May,26,6,Sunday,2
2019-05-27,956,2019,5,May,27,0,Monday,2
2019-05-28,957,2019,5,May,28,1,Tuesday,2
2019-05-30,958,2019,5,May,30,3,Thursday,2
2019-05-31,959,2019,5,May,31,4,Friday,2
2019-06-01,960,2019,6,June,1,5,Saturday,2
2019-06-02,961,2019,6,June,2,6,Sunday,2
2019-06-03,962,2019,6,June,3,0,Monday,2
2019-06-04,963,2019,6,June,4,1,Tuesday,2
2019-06-05,964,2019,6,June,5,2,Wednesday,2
2019-06-06,965,2019,6,June,6,3,Thursday,2
2019-06-07,966,2019,6,June,7,4,Friday,2
2019-06-08,967,2019,6,June,8,5,Saturday,2
2019-06-10,968,2019,6,June,10,0,Monday,2
2019-06-11,969,2019,6,June,11,1,Tuesday,2
2019-06-12,970,2019,6,June,12,2,Wednesday,2
2019-06-13,971,2019,6,June,13,3,Thursday,2
2019-06-14,972,2019,6,June,14,4,Friday,2
2019-06-15,973,2019,6,June,15,5,Saturday,2
2019-06-16,974,2019,6,June,16,6,Sunday,2
2019-06-18,975,2019,6,June,18,1,Tuesday,2
2019-06-19,976,2019,6,June,19,2,Wednesday,2
2019-06-20,977,2019,6,June,20,3,Thursday,2
2019-06-21,978,2019,6,June,21,4,Friday,2
2019-06-22,979,2019,6,June,22,5,Saturday,2
2019-06-23,980,2019,6,June,23,6,Sunday,2
2019-06-24,981,2019,6,June,24,0,Monday,2
2019-06-25,982,2019,6,June,25,1,Tuesday,2
2019-06-26,983,2019,6,June,26,2,Wednesday,2
2019-06-27,984,2019,6,June,27,3,Thursday,2
2019-06-28,985,2019,6,June,28,4,Friday,2
2019-06-29,986,2019,6,June,29,5,Saturday,2
2019-06-30,987,2019,6,June,30,6,Sunday,2
2019-07-01,988,2019,7,July,1,0,Monday,3
2019-07-02,989,2019,7,July,2,1,Tuesday,3
2019-07-03,990,2019,7,July,3,2,Wednesday,3
2019-07-04,991,2019,7,July,4,3,Thursday,3
2019-07-05,992,2019,7,July,5,4,Friday,3
2019-07-06,993,2019,7,July,6,5,Saturday,3
2019-07-07,994,2019,7,July,7,6,Sunday,3
2019-07-08,995,2019,7,July,8,0,Monday,3
2019-07-09,996,2019,7,July,9,1,Tuesday,3
2019-07-11,997,2019,7,July,11,3,Thursday,3
2019-07-12,998,2019,7,July,12,4,Friday,3
2019-07-13,999,2019,7,July,13,5,Saturday,3
2019-07-15,1000,2019,7,July,15,0,Monday,3
2019-07-16,1001,2019,7,July,16,1,Tuesday,3
2019-07-17,1002,2019,7,July,17,2,Wednesday,3
2019-07-18,1003,2019,7,July,18,3,Thursday,3
2019-07-19,1004,2019,7,July,19,4,Friday,3
2019-07-20,1005,2019,7,July,20,5,Saturday,3
2019-07-21,1006,2019,7,July,21,6,Sunday,3
2019-07-22,1007,2019,7,July,22,0,Monday,3
2019-07-23,1008,2019,7,July,23,1,Tuesday,3
2019-07-24,1009,2019,7,July,24,2,Wednesday,3
2019-07-25,1010,2019,7,July,25,3,Thursday,3
2019-07-26,1011,2019,7,July,26,4,Friday,3
2019-07-29,1012,2019,7,July,29,0,Monday,3
2019-07-30,1013,2019,7,July,30,1,Tuesday,3
2019-07-31,1014,2019,7,July,31,2,Wednesday,3
2019-08-01,1015,2019,8,August,1,3,Thursday,3
2019-08-02,1016,2019,8,August,2,4,Friday,3
2019-08-03,1017,2019,8,August,3,5,Saturday,3
2019-08-05,1018,2019,8,August,5,0,Monday,3
2019-08-06,1019,2019,8,August,6,1,Tuesday,3
2019-08-07,1020,2019,8,August,7,2,Wednesday,3
2019-08-08,1021,2019,8,August,8,3,Thursday,3
2019-08-09,1022,2019,8,August,9,4,Friday,3
2019-08-12,1023,2019,8,August,12,0,Monday,3
2019-08-13,1024,2019,8,August,13,1,Tuesday,3
2019-08-14,1025,2019,8,August,14,2,Wednesday,3
2019-08-15,1026,2019,8,August,15,3,Thursday,3
2019-08-16,1027,2019,8,August,16,4,Friday,3
2019-08-20,1028,2019,8,August,20,1,Tuesday,3
2019-08-21,1029,2019,8,August,21,2,Wednesday,3
