date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2016-02-14,118,2016,2,February,14,6,Sunday,1
2016-02-18,119,2016,2,February,18,3,Thursday,1
2016-02-19,120,2016,2,February,19,4,Friday,1
2016-02-24,121,2016,2,February,24,2,Wednesday,1
2016-02-26,122,2016,2,February,26,4,Friday,1
2016-03-01,123,2016,3,March,1,1,Tuesday,1
2016-03-02,124,2016,3,March,2,2,Wednesday,1
2016-03-07,125,2016,3,March,7,0,Monday,1
2016-03-09,126,2016,3,March,9,2,Wednesday,1
2016-03-11,127,2016,3,March,11,4,Friday,1
2016-03-16,128,2016,3,March,16,2,Wednesday,1
2016-03-18,129,2016,3,March,18,4,Friday,1
2016-03-19,130,2016,3,March,19,5,Saturday,1
2016-03-25,131,2016,3,March,25,4,Friday,1
2016-03-31,132,2016,3,March,31,3,Thursday,1
2016-04-01,133,2016,4,April,1,4,Friday,2
2016-04-05,134,2016,4,April,5,1,Tuesday,2
2016-04-08,135,2016,4,April,8,4,Friday,2
2016-04-09,136,2016,4,April,9,5,Saturday,2
2016-04-15,137,2016,4,April,15,4,Friday,2
2016-04-17,138,2016,4,April,17,6,Sunday,2
2016-04-20,139,2016,4,April,20,2,Wednesday,2
2016-04-22,140,2016,4,April,22,4,Friday,2
2016-04-25,141,2016,4,April,25,0,Monday,2
2016-04-28,142,2016,4,April,28,3,Thursday,2
2016-04-29,143,2016,4,April,29,4,Friday,2
2016-05-01,144,2016,5,May,1,6,Sunday,2
2016-05-05,145,2016,5,May,5,3,Thursday,2
2016-05-06,146,2016,5,May,6,4,Friday,2
2016-05-08,147,2016,5,May,8,6,Sunday,2
2016-05-15,148,2016,5,May,15,6,Sunday,2
2016-05-22,149,2016,5,May,22,6,Sunday,2
2016-05-23,150,2016,5,May,23,0,Monday,2
2016-05-26,151,2016,5,May,26,3,Thursday,2
2016-05-27,152,2016,5,May,27,4,Friday,2
2016-05-28,153,2016,5,May,28,5,Saturday,2
2016-06-01,154,2016,6,June,1,2,Wednesday,2
2016-06-02,155,2016,6,June,2,3,Thursday,2
2016-06-03,156,2016,6,June,3,4,Friday,2
2016-06-13,157,2016,6,June,13,0,Monday,2
2016-06-18,158,2016,6,June,18,5,Saturday,2
2016-06-20,159,2016,6,June,20,0,Monday,2
2016-06-24,160,2016,6,June,24,4,Friday,2
2016-06-30,161,2016,6,June,30,3,Thursday,2
2016-07-01,162,2016,7,July,1,4,Friday,3
2016-07-04,163,2016,7,July,4,0,Monday,3
2016-07-06,164,2016,7,July,6,2,Wednesday,3
2016-07-07,165,2016,7,July,7,3,Thursday,3
2016-07-08,166,2016,7,July,8,4,Friday,3
2016-07-10,167,2016,7,July,10,6,Sunday,3
2016-07-14,168,2016,7,July,14,3,Thursday,3
2016-07-15,169,2016,7,July,15,4,Friday,3
2016-07-21,170,2016,7,July,21,3,Thursday,3
2016-07-24,171,2016,7,July,24,6,Sunday,3
2016-07-25,172,2016,7,July,25,0,Monday,3
2016-07-29,173,2016,7,July,29,4,Friday,3
2016-08-01,174,2016,8,August,1,0,Monday,3
2016-08-02,175,2016,8,August,2,1,Tuesday,3
2016-08-05,176,2016,8,August,5,4,Friday,3
2016-08-11,177,2016,8,August,11,3,Thursday,3
2016-08-13,178,2016,8,August,13,5,Saturday,3
2016-08-15,179,2016,8,August,15,0,Monday,3
2016-08-19,180,2016,8,August,19,4,Friday,3
2016-08-25,181,2016,8,August,25,3,Thursday,3
2016-08-26,182,2016,8,August,26,4,Friday,3
2016-09-01,183,2016,9,September,1,3,Thursday,3
2016-09-02,184,2016,9,September,2,4,Friday,3
2016-09-06,185,2016,9,September,6,1,Tuesday,3
2016-09-07,186,2016,9,September,7,2,Wednesday,3
2016-09-09,187,2016,9,September,9,4,Friday,3
2016-09-13,188,2016,9,September,13,1,Tuesday,3
2016-09-15,189,2016,9,September,15,3,Thursday,3
2016-09-16,190,2016,9,September,16,4,Friday,3
2016-09-17,191,2016,9,September,17,5,Saturday,3
2016-09-19,192,2016,9,September,19,0,Monday,3
2016-09-20,193,2016,9,September,20,1,Tuesday,3
2016-09-22,194,2016,9,September,22,3,Thursday,3
2016-09-23,195,2016,9,September,23,4,Friday,3
