content_key,genre_id
1,11
2,18
2,35
2,37
3,9
3,18
3,33
4,12
4,24
5,18
5,26
5,34
6,35
6,36
6,37
7,5
8,13
8,16
8,17
9,4
9,24
10,8
10,13
11,9
11,12
11,18
12,9
12,18
12,33
13,13
13,17
14,5
14,8
15,4
15,9
15,12
16,34
16,35
17,11
17,17
18,9
18,29
18,35
19,42
20,18
20,29
20,33
21,9
21,12
21,18
22,18
22,33
22,35
23,8
23,17
24,5
25,8
25,17
25,25
26,12
26,18
26,24
27,8
27,17
27,23
28,8
29,15
29,27
30,42
31,13
31,16
31,17
32,34
33,4
33,18
33,34
34,18
34,35
34,40
35,19
36,13
36,17
36,42
37,1
37,13
37,17
38,19
38,34
39,1
39,13
40,19
41,19
41,38
42,1
42,7
42,13
43,13
43,15
43,42
44,1
44,15
44,42
45,1
45,15
45,42
46,11
47,1
48,18
48,26
48,34
49,13
49,42
50,18
50,35
51,18
51,35
51,38
52,1
52,2
52,17
53,1
53,2
53,17
54,1
54,2
54,17
55,1
55,2
55,17
56,24
57,1
57,2
57,17
58,1
58,2
58,17
59,1
59,2
59,17
60,1
60,2
60,17
61,1
61,2
61,17
62,1
62,2
62,17
63,1
63,2
63,17
64,1
64,2
64,17
65,5
66,19
67,12
67,18
68,19
68,34
69,11
69,17
69,30
70,18
70,35
71,18
71,24
71,26
72,5
73,4
73,12
73,18
74,13
74,17
75,24
76,5
77,3
77,18
78,5
78,8
79,8
79,13
79,17
80,8
80,13
80,17
81,5
82,1
83,9
83,34
83,35
84,24
85,1
85,8
85,13
86,3
86,19
87,17
87,42
88,19
88,20
89,11
89,30
90,19
91,27
91,42
92,11
92,17
93,18
93,35
93,37
94,13
94,17
94,25
95,5
95,8
96,24
97,11
97,23
98,19
98,34
98,38
99,4
99,19
100,34
100,35
101,19
102,11
102,30
103,12
103,28
104,13
104,17
104,42
105,19
105,20
106,1
106,8
106,13
107,19
107,34
108,5
108,13
109,19
109,35
109,41
110,9
110,18
110,29
111,12
111,18
111,29
112,19
113,13
114,8
114,25
115,13
115,17
115,42
116,13
116,25
117,8
117,13
117,16
118,11
119,13
119,17
119,42
120,13
120,17
120,25
121,19
121,34
122,18
122,26
122,34
123,42
124,19
125,19
125,20
126,9
126,33
126,34
127,13
127,17
127,25
128,5
128,8
129,13
129,17
129,42
130,13
131,5
131,23
132,1
132,7
132,10
133,18
133,33
133,34
134,1
134,27
135,1
135,13
136,1
137,13
137,25
138,1
138,8
139,13
139,25
140,7
140,8
140,13
141,13
141,17
141,42
142,1
143,13
144,1
144,27
145,8
145,10
146,8
146,10
146,23
147,8
147,23
148,24
149,39
150,1
150,8
151,42
152,1
152,17
153,8
154,19
155,3
155,18
155,41
156,1
156,5
156,10
157,8
157,13
157,25
158,27
158,42
159,8
159,25
160,8
160,13
160,17
161,34
162,8
162,10
162,27
163,13
164,8
164,25
165,1
165,8
166,9
166,18
166,29
167,7
167,13
168,5
168,8
169,1
169,5
169,8
170,1
170,13
171,11
171,23
172,13
172,14
173,8
173,23
174,11
174,21
175,1
175,13
176,13
176,25
177,1
177,8
178,1
178,7
179,1
179,8
180,8
180,25
181,8
181,25
182,12
183,8
184,1
184,7
185,24
186,11
186,30
187,18
187,26
187,34
188,18
188,34
189,8
189,17
190,19
190,34
191,13
191,17
192,13
192,16
193,1
193,8
193,17
194,18
194,35
195,18
195,29
195,35
196,8
196,13
196,17
197,8
197,25
198,19
198,34
199,9
199,18
199,35
200,8
200,13
200,17
201,1
201,15
201,17
202,13
202,17
202,42
203,8
203,17
203,23
204,8
204,17
205,8
205,17
206,8
206,17
206,27
207,13
207,16
207,17
208,1
208,17
208,23
209,13
209,17
209,23
210,13
210,17
210,23
211,15
211,17
212,15
212,17
213,18
213,35
214,12
214,18
215,1
215,17
216,1
216,13
216,17
217,8
217,13
217,16
218,8
218,13
218,17
219,24
219,41
220,3
220,18
221,19
221,34
222,11
223,9
223,35
223,37
224,9
224,12
224,18
225,18
225,24
226,18
226,35
226,37
227,18
227,34
227,35
228,13
228,16
228,25
229,1
230,15
231,11
231,30
232,5
232,13
233,24
234,11
234,23
235,19
235,34
236,11
236,21
236,30
237,15
237,17
237,42
238,15
238,17
238,42
239,15
239,17
239,42
240,15
240,17
240,42
241,1
241,2
242,35
242,37
242,38
243,18
243,34
244,18
244,29
244,34
245,13
245,17
245,42
246,12
246,18
247,13
247,17
247,25
248,1
248,13
249,34
249,35
250,5
250,8
250,23
251,13
251,17
251,25
252,13
252,16
252,25
253,17
253,42
254,13
254,17
254,25
255,19
256,11
256,17
257,13
257,17
258,13
258,17
258,25
259,8
259,13
259,17
260,8
260,13
260,17
261,9
261,18
261,35
262,8
262,17
262,25
263,11
263,21
263,30
264,19
265,8
265,16
266,3
266,18
266,26
267,12
267,18
268,7
268,13
268,16
269,13
269,17
270,19
271,1
272,35
272,36
272,37
273,19
274,9
274,18
274,35
275,34
275,35
276,9
276,18
276,29
277,18
277,26
277,29
278,18
278,35
278,41
279,31
280,1
280,2
280,5
281,24
282,8
282,17
283,13
283,16
283,17
284,11
284,17
285,8
285,25
286,13
286,17
287,19
288,18
288,26
288,34
289,9
289,18
289,29
290,18
290,26
290,35
291,11
291,30
292,3
292,18
293,8
293,13
293,16
294,8
294,17
294,25
295,17
295,23
296,1
296,8
297,33
297,35
297,37
298,39
299,8
299,13
299,17
300,15
300,16
300,17
301,5
301,23
302,1
302,8
302,17
303,11
303,17
304,8
304,10
304,17
305,11
306,7
306,13
306,17
307,13
307,17
308,15
309,22
310,24
311,9
311,12
312,18
312,29
312,35
313,24
314,18
314,26
314,35
315,13
315,16
315,25
316,13
316,17
317,18
317,26
317,34
318,11
318,21
319,11
319,17
320,18
320,26
320,34
321,12
322,18
322,26
322,34
323,18
323,26
323,34
324,34
325,19
326,5
326,8
327,5
327,8
328,1
328,27
329,1
330,13
331,5
331,8
331,27
332,3
332,18
332,40
333,1
333,15
333,27
334,7
334,8
334,10
335,13
335,25
336,13
336,42
337,35
337,41
338,8
338,25
339,3
339,18
340,13
340,16
340,17
341,1
341,27
341,42
342,13
342,16
343,8
344,13
345,5
345,8
345,13
346,5
346,8
347,1
347,8
348,5
348,8
348,27
349,8
350,13
350,30
351,1
351,13
351,27
352,1
352,8
352,10
353,8
353,13
354,15
355,1
355,8
356,13
356,42
357,1
358,13
358,16
358,42
359,42
360,31
361,8
361,25
362,35
362,38
363,13
363,17
364,1
364,17
364,42
365,19
365,34
366,13
366,16
366,17
367,4
367,18
367,24
368,11
368,17
369,18
369,24
370,4
370,9
370,12
371,33
371,35
371,41
372,13
372,16
372,17
373,1
373,17
374,1
374,8
374,17
375,8
375,17
375,25
376,8
376,25
377,3
378,1
378,17
379,11
380,24
381,9
381,33
381,38
382,9
382,18
382,29
383,35
383,41
384,1
384,17
385,42
386,9
386,18
386,34
387,19
388,8
388,13
388,17
389,32
389,34
390,13
390,17
390,42
391,6
391,33
391,35
392,18
392,33
392,35
393,1
393,13
394,5
394,30
395,13
395,16
395,17
396,8
396,17
397,1
397,15
397,17
398,18
398,26
398,34
399,15
399,17
399,42
400,33
400,38
401,3
401,32
402,18
402,29
402,33
403,13
403,25
404,12
405,11
406,5
407,5
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,5
420,30
421,5
422,5
423,5
424,5
425,5
426,35
427,13
428,8
428,17
429,2
429,5
429,17
430,13
430,17
430,42
431,4
431,18
431,24
432,18
432,24
432,26
433,5
434,8
434,13
434,16
435,6
435,9
435,18
436,9
436,18
436,26
437,13
437,17
437,25
438,1
439,13
439,17
439,25
440,13
440,17
440,42
441,12
441,28
442,15
442,21
443,19
443,34
444,8
444,17
445,12
446,13
446,16
446,42
447,13
448,13
448,25
449,13
449,25
450,13
450,25
451,13
451,25
452,1
452,13
452,25
453,8
453,13
453,17
454,3
454,18
455,8
455,10
456,11
456,17
456,23
457,18
457,26
457,34
458,11
458,17
458,30
459,13
459,17
459,25
460,34
460,35
460,41
461,5
461,8
461,30
462,8
462,13
462,16
463,11
464,15
464,17
465,1
465,8
466,9
466,12
467,24
468,11
468,17
469,8
469,13
469,17
470,13
470,16
471,22
472,5
472,13
472,17
473,19
474,11
474,30
475,1
475,8
476,31
477,8
477,11
477,17
478,34
478,35
478,41
479,18
479,35
479,38
480,15
481,8
481,13
481,17
482,1
482,13
482,17
483,12
484,13
484,17
484,25
485,31
486,42
487,5
487,8
487,27
488,18
488,26
488,29
489,26
489,35
490,8
490,17
491,9
491,12
491,18
492,8
492,13
492,25
493,13
493,25
494,3
494,36
494,40
495,8
495,23
496,11
496,17
497,1
497,17
498,12
499,13
499,17
500,12
501,1
501,17
502,13
502,17
503,13
503,17
503,25
504,9
504,18
504,35
505,18
505,29
505,34
506,13
506,17
507,17
507,25
508,8
508,17
509,13
509,17
510,19
511,18
511,35
511,37
512,32
512,34
513,19
514,33
514,35
514,38
515,4
515,18
515,34
516,4
516,18
516,34
517,18
517,35
517,37
518,18
518,26
518,34
519,13
519,17
520,4
520,9
520,12
521,34
522,18
522,34
523,19
523,20
523,34
524,4
524,9
524,18
525,18
525,35
526,19
527,34
527,35
528,19
529,13
529,17
529,25
530,13
530,17
531,19
531,34
532,13
532,17
533,9
533,36
533,37
534,18
534,35
535,13
535,17
536,19
536,34
537,12
537,18
537,28
538,18
538,24
539,4
539,18
539,35
540,19
540,33
540,38
541,4
541,19
542,8
542,13
542,17
543,13
543,17
544,9
544,18
544,33
545,18
545,34
546,19
546,20
547,18
547,26
547,35
548,19
549,26
549,35
550,18
550,24
551,15
551,21
552,17
552,25
552,42
553,8
553,17
554,9
554,18
554,35
555,13
555,17
555,42
556,1
556,10
556,17
557,15
557,17
557,42
558,15
558,27
559,1
560,1
561,11
561,30
562,1
562,8
563,8
564,1
564,8
564,27
565,8
565,13
565,16
566,18
566,19
566,37
567,1
567,8
568,1
568,42
569,5
569,8
570,13
570,17
570,25
571,1
571,17
572,18
572,26
572,34
573,8
573,13
573,17
574,5
574,8
575,5
575,8
576,8
576,13
576,25
577,13
577,14
577,17
578,18
578,34
579,13
579,25
580,1
580,7
580,8
581,1
581,2
581,17
582,1
582,27
583,8
583,13
584,8
584,25
585,8
586,13
586,25
587,15
588,18
588,34
588,35
589,19
590,13
590,17
591,3
591,19
592,13
592,25
593,8
593,25
594,5
594,8
595,1
595,27
596,5
596,8
597,8
597,13
597,16
598,1
598,8
598,30
599,13
599,42
600,13
601,42
602,1
602,5
602,7
603,1
603,5
603,13
604,5
604,13
605,13
606,1
607,13
607,17
608,15
608,42
609,1
610,1
610,25
611,1
611,15
611,27
612,1
612,15
612,27
613,1
613,15
613,27
614,13
614,17
614,42
615,13
615,25
615,27
616,13
616,23
616,25
617,13
618,18
618,26
618,35
619,1
619,8
620,13
620,17
621,24
622,3
622,9
622,18
623,42
624,8
624,13
624,17
625,13
625,17
625,42
626,9
626,18
626,29
627,4
627,9
627,12
628,3
628,18
628,41
629,19
630,13
630,17
631,13
632,3
632,18
633,8
633,17
634,13
634,16
634,17
635,11
635,17
636,13
636,17
637,1
638,18
638,35
638,37
639,26
639,35
640,3
640,18
641,18
641,35
642,11
642,30
643,18
643,35
644,15
645,8
645,25
646,11
646,17
647,8
647,17
647,23
648,18
648,24
649,24
649,26
650,13
650,17
650,25
651,13
651,17
652,8
652,13
652,17
653,8
653,13
653,17
654,12
654,18
655,8
655,13
655,17
656,8
656,13
656,17
657,17
657,23
657,25
658,24
658,33
658,37
659,18
659,26
659,35
660,18
660,26
660,35
661,33
661,35
661,38
662,18
662,34
662,35
663,34
664,18
664,35
665,19
666,9
666,18
666,35
667,18
667,26
667,34
668,34
668,35
668,41
669,9
669,35
670,9
670,18
670,29
671,1
671,2
671,17
672,1
672,2
672,17
673,1
673,2
673,17
674,18
674,24
674,29
675,35
676,18
676,24
676,26
677,9
677,35
677,37
678,34
679,9
679,35
679,40
680,9
680,18
680,35
681,12
682,4
682,12
683,18
683,34
684,13
684,17
685,9
685,18
685,29
686,13
687,18
687,20
687,34
688,1
688,13
688,17
689,8
689,17
689,25
690,1
690,2
690,7
691,1
691,17
692,18
692,34
693,18
693,26
693,35
694,8
694,13
694,17
695,8
695,13
695,16
696,13
696,17
697,33
697,35
697,36
698,18
698,26
698,29
699,13
699,16
699,17
700,18
700,35
700,37
701,3
701,18
702,13
703,8
703,13
703,16
704,18
704,35
704,37
705,8
705,13
705,17
706,11
706,17
706,30
707,18
707,29
707,35
708,18
708,26
708,34
709,13
709,16
710,18
710,26
710,29
711,12
711,28
712,13
712,17
712,42
713,1
713,13
713,17
714,19
714,34
