content_key,country_id
1,116
2,100
5,46
8,116
8,40
8,18
8,115
8,39
8,35
9,115
10,116
13,39
13,29
16,116
18,68
22,111
25,46
26,7
28,116
29,116
30,116
30,46
30,37
33,115
38,36
39,24
39,21
39,116
40,46
41,116
42,116
43,116
44,116
45,116
47,100
47,116
47,54
49,116
50,78
51,46
52,54
53,54
54,54
55,54
56,116
57,54
58,54
59,54
60,54
61,54
62,54
63,54
64,54
66,115
67,46
68,116
70,46
73,115
74,78
77,54
82,116
83,116
85,78
91,103
91,116
92,37
93,13
95,115
95,116
96,116
96,115
97,116
98,116
99,115
100,37
100,116
102,116
105,101
106,46
107,116
108,116
109,7
110,103
112,116
112,96
115,46
116,115
116,7
116,37
117,46
118,115
118,116
119,46
121,7
123,115
123,7
123,37
123,116
125,101
126,116
127,46
128,116
128,21
130,39
130,116
132,116
134,100
134,116
135,116
135,68
136,116
136,52
136,37
136,54
137,116
137,52
137,90
137,115
138,7
138,116
139,116
140,116
141,5
141,119
142,116
142,115
142,21
143,39
143,116
144,116
145,116
146,116
147,116
150,116
151,116
152,24
152,43
153,116
154,91
155,54
156,115
156,116
157,116
158,21
159,116
160,43
161,116
162,116
163,116
163,24
163,43
164,116
165,116
167,52
167,116
168,116
168,21
169,116
170,116
171,116
172,116
173,116
173,39
174,116
175,116
176,116
177,116
178,115
178,116
179,116
180,116
183,116
184,116
185,116
189,37
191,46
192,115
192,21
192,116
193,46
194,101
196,46
199,78
200,46
201,46
202,46
203,46
204,46
205,46
206,46
207,46
208,46
209,46
210,46
211,46
212,46
213,50
216,46
217,46
218,46
220,54
221,116
228,116
229,116
229,115
230,116
232,116
233,116
234,115
242,116
248,116
252,116
254,46
255,116
260,46
260,74
264,116
265,116
266,54
267,46
268,76
268,7
268,37
268,116
270,52
271,52
271,16
271,41
272,116
273,116
274,37
275,116
276,5
277,103
278,55
279,25
280,116
280,54
281,116
282,78
283,68
284,13
284,115
285,115
285,116
286,107
286,115
286,7
287,116
289,25
290,101
291,116
292,54
293,115
294,100
296,116
297,51
297,116
298,46
299,78
300,37
301,21
301,116
302,46
303,16
304,5
305,115
306,5
306,103
307,78
308,116
309,116
311,116
312,68
313,116
314,109
315,116
316,116
316,78
317,109
318,116
320,109
322,109
323,109
324,116
325,52
326,116
327,116
328,116
328,115
329,17
329,116
330,116
330,21
331,116
331,21
333,116
333,68
334,116
335,116
336,116
338,116
338,21
339,54
341,116
341,115
342,116
343,116
344,116
345,116
346,116
346,21
347,116
348,103
348,115
348,116
349,115
349,116
350,116
351,116
352,116
352,39
353,116
353,24
354,116
355,116
356,116
357,116
357,37
358,103
358,37
358,115
358,116
359,116
360,116
361,116
362,116
366,37
366,3
367,115
371,116
375,78
378,86
379,116
381,116
383,116
384,46
386,39
387,116
387,21
390,37
390,51
390,39
390,116
390,115
391,116
392,21
392,116
393,116
394,7
